Obs,ring,doy,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
46,21,235,550,1,37.195,41.1646,39.3615,39.3826,41.1538,43.5164,43.5915,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
47,17,237,370,1,34.1551,39.7778,40.2267,42.3896,42.5949,41.1097,40.9782,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
48,21,237,550,1,34.7364,40.8084,39.1688,39.0385,40.7977,43.2606,43.469,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
49,17,243,370,1,39.0899,44.0504,42.0008,43.5667,43.4379,41.6321,41.4032,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
50,21,243,550,1,38.7187,41.3384,39.3131,39.2094,40.7516,43.2209,43.3662,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
51,17,245,370,1,38.7154,43.9633,41.8558,43.5877,43.5622,41.6893,41.2569,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
52,21,245,550,1,37.6879,41.0318,39.1825,39.1646,40.8711,43.2441,43.3686,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
53,17,249,370,1,40.1616,44.5458,42.2912,43.9011,43.8056,42.1294,41.8802,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
54,21,249,550,1,39.9337,41.4609,39.6125,39.5652,41.2759,43.7153,43.5302,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
55,17,251,370,1,39.28,44.0163,41.8627,43.6183,43.5513,41.7393,41.473,30.3476,44.9703,43.4293,44.7288,44.6701,42.9197,42.8513
56,21,251,550,1,39.0625,41.6575,39.4479,39.4612,41.1885,43.7574,43.6556,34.0135,42.2586,40.8538,40.9827,42.4323,45.0944,45.2622
57,24,165,370,2,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
58,20,165,550,2,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
59,24,167,370,2,29.9193,45.0526,44.7699,46.0958,46.7159,46.8389,46.3418,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
60,20,167,550,2,35.434,44.689,43.696,45.072,45.4528,46.0348,45.8715,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
61,24,172,370,2,28.8918,44.2515,44.3717,45.7286,46.3991,46.5695,46.1633,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
62,20,172,550,2,34.6466,43.2621,43.1277,44.3654,45.2872,45.5019,45.6787,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
63,24,174,370,2,24.5836,39.6589,44.1801,46.157,46.7878,47.0013,46.5859,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
64,20,174,550,2,31.2166,40.9217,43.203,44.7327,45.5105,45.957,46.0946,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
65,24,177,370,2,21.6468,32.2349,42.4152,45.282,46.1925,46.4644,45.8891,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
66,20,177,550,2,27.1336,34.7234,40.7996,44.0973,44.9737,45.357,45.5444,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
67,24,179,370,2,21.3643,28.8413,40.9118,45.2546,46.3024,46.4306,46.0457,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
68,20,179,550,2,26.7696,33.2107,38.3973,43.1261,44.1755,44.2935,45.2185,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
69,24,184,370,2,19.3188,22.7728,32.2646,40.6991,45.4927,46.2403,46.1556,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
70,20,184,550,2,24.9687,28.2988,30.4322,35.3766,42.6809,45.3338,45.6987,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
71,24,187,370,2,22.3179,26.0944,38.0853,43.8055,45.9181,46.5338,46.0728,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
72,20,187,550,2,30.0779,32.4605,33.4488,37.982,42.9753,45.2003,45.478,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
73,24,189,370,2,21.1884,24.5455,35.0119,41.5314,44.3322,45.8589,45.7327,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
74,20,189,550,2,27.1163,30.894,31.8088,35.4522,40.1187,44.0426,45.2871,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
75,24,194,370,2,38.4283,44.9863,44.4821,46.0882,47.2544,47.2249,47.6186,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
76,20,194,550,2,42.3117,44.2991,42.9331,44.1579,45.2154,45.6494,46.2014,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
77,24,198,370,2,30.1775,41.9089,43.676,45.3513,46.396,46.3759,46.208,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
78,20,198,550,2,38.3702,43.5473,42.469,43.6761,44.695,45.28,45.5511,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
79,24,200,370,2,25.7866,38.1599,42.3525,44.4772,45.3249,46.0965,46.049,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
80,20,200,550,2,33.5674,42.6164,42.0518,43.1987,44.4061,44.9958,45.491,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
81,24,202,370,2,30.9011,41.3375,43.3871,45.1203,46.152,46.0596,45.8265,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
82,20,202,550,2,38.1208,42.8998,41.8167,42.8005,43.9056,44.6387,45.0351,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
83,24,206,370,2,26.1661,38.5032,42.6583,44.9531,45.895,45.7497,45.5783,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
84,20,206,550,2,35.4956,42.763,41.9421,42.8414,43.7409,44.338,44.8573,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
85,24,209,370,2,40.0508,45.9042,44.9027,46.2112,47.0802,47.4323,47.3327,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
86,20,209,550,2,41.9931,44.5135,43.0978,44.3988,45.1745,45.8394,46.0519,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
87,24,212,370,2,31.8752,44.4438,44.5216,46.0987,47.1289,46.9888,46.4751,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
88,20,212,550,2,40.6842,44.7945,43.3152,44.4928,45.5658,46.0994,46.2136,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
89,24,214,370,2,26.5119,41.4167,44.0915,45.842,46.6813,46.8032,46.2593,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
90,20,214,550,2,38.1336,44.242,43.099,44.273,45.2074,45.7977,45.7761,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
91,24,216,370,2,23.2071,35.5097,42.6086,45.4769,46.2938,46.2457,45.9223,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
92,20,216,550,2,32.8546,43.1124,42.5365,44.1056,44.849,45.5714,45.6585,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
93,24,224,370,2,33.5142,41.8773,43.4218,44.7065,45.5222,45.5175,44.8739,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
94,20,224,550,2,40.5298,43.2285,42.0624,42.9541,43.9302,44.415,44.5384,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
95,24,227,370,2,28.7284,39.3704,43.0714,44.7963,45.391,45.3001,45.0083,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
96,20,227,550,2,39.6079,43.2793,42.1449,42.8845,43.9797,44.5088,44.6833,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
97,24,229,370,2,25.3786,35.7349,41.7861,44.0789,44.9136,44.7702,44.3987,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
98,20,229,550,2,36.8973,42.3669,41.6356,42.7932,43.7442,44.2287,44.3959,37.3818,44.4904,43.4395,44.4535,44.9607,45.2371,45.3077
99,24,233,370,2,32.9276,42.1797,43.3256,44.7353,45.4377,45.1478,44.6645,31.7024,45.0669,43.9919,45.3644,46.2181,46.3194,45.9667
