Obs,ring,DOY,CO2,block,true_ten,true_twenty,true_thirty,true_forty,true_fifty,true_sixty,true_seventy,start_ten,start_twenty,start_thirty,start_forty,start_fifty,start_sixty,start_seventy
105,3,218,550,2,24.4689,33.0564,39.812,41.6456,42.2313,42.9392,41.8137,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
106,4,220,370,2,18.7893,22.4854,28.4029,34.9148,39.0368,40.7349,42.2826,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
107,3,220,550,2,23.4108,31.3755,38.6407,41.2476,41.9208,42.7003,41.5984,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
108,4,222,370,2,17.776,21.6122,27.0225,32.1502,36.8146,39.0556,40.8623,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
109,3,222,550,2,22.3311,30.1646,37.3768,40.4976,41.5706,42.5628,41.6327,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
110,4,225,370,2,16.9847,20.3037,25.346,29.9693,34.2888,36.7094,38.6637,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
111,3,225,550,2,20.35,26.5941,34.1871,38.0563,39.2292,41.308,41.069,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
112,4,227,370,2,18.3522,21.3039,26.4399,30.594,34.3551,36.4592,38.1393,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
113,3,227,550,2,21.4644,27.4192,34.6453,37.706,38.8447,40.6929,40.6335,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
114,4,229,370,2,18.8432,21.2357,26.3109,30.4357,33.8924,35.9583,37.8728,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
115,3,229,550,2,21.6451,27.0825,34.2466,37.4454,38.7911,41.038,40.7538,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
116,4,236,370,2,20.9567,22.994,27.5068,30.9406,33.7968,36.0775,37.7738,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
117,3,236,550,2,22.4056,27.1195,33.497,37.5522,38.3412,40.501,40.7138,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
118,4,242,370,2,20.8139,22.1979,26.496,29.8816,32.6082,34.6666,36.4952,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
119,3,242,550,2,21.1243,25.9707,32.4588,35.6377,36.643,39.1959,39.8592,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
120,4,247,370,2,17.9278,20.2147,24.6872,27.8508,30.8834,33.0379,35.0253,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
121,3,247,550,2,18.9621,23.6202,30.111,33.7552,34.823,37.6499,38.8251,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
122,4,249,370,2,17.1865,20.0378,24.4195,27.4084,30.3447,32.4882,34.4567,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
123,3,249,550,2,18.1178,23.0998,29.3593,33.0049,34.1089,36.8409,38.1763,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
124,4,254,370,2,33.2326,34.8858,36.7315,39.012,37.8049,37.4786,37.2173,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
125,3,254,550,2,37.2052,37.3604,40.5345,40.844,40.3425,39.4635,39.7142,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
126,4,256,370,2,31.0075,34.8475,36.5697,38.9403,37.8327,37.1716,37.1826,37.1397,43.8759,42.753,45.0881,45.2575,45.4639,45.0763
127,3,256,550,2,35.7293,37.3502,40.3955,40.5936,40.1923,39.4998,39.5703,42.7106,46.4541,44.0238,43.5089,43.5039,44.2563,43.0318
128,10,163,370,3,26.3763,37.2516,37.624,37.0231,37.9782,41.1205,43.6104,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
129,14,163,550,3,28.2752,39.4809,40.2747,42.2956,44.9055,45.6215,45.1748,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
130,10,166,370,3,26.3919,37.0942,37.6613,37.0833,38.1688,41.3899,43.0645,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
131,14,166,550,3,26.9865,39.1696,40.2049,42.2425,44.9586,45.2045,45.4179,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
132,10,170,370,3,26.4798,35.7316,36.9506,36.7124,38.0017,41.386,44.1445,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
133,14,170,550,3,26.2226,37.8044,39.7543,41.8028,44.5454,45.7528,45.3158,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
134,10,171,370,3,26.4136,35.2374,36.6531,36.2435,37.7714,41.126,42.6032,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
135,14,171,550,3,26.647,37.7044,39.5213,41.6785,44.3754,45.7027,45.3418,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
136,10,173,370,3,32.2782,37.1576,36.5917,36.2017,37.7543,40.9863,43.4747,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
137,14,173,550,3,33.2222,38.3628,39.3391,41.4528,44.1524,45.5442,45.2389,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
138,10,176,370,3,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
139,14,176,550,3,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
140,10,178,370,3,35.5205,40.1983,38.2224,37.6119,37.2325,39.7067,44.0279,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
141,14,178,550,3,37.9333,42.2747,40.5416,42.5161,45.1135,45.2241,45.3043,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
142,10,180,370,3,37.0701,39.7379,38.2248,37.4435,38.3486,41.4123,43.7533,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
143,14,180,550,3,39.6581,42.9741,41.1685,42.8711,45.2088,45.8715,45.2901,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
144,10,183,370,3,32.39,39.0153,38.0954,37.3649,38.1506,41.1948,43.6517,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
145,14,183,550,3,34.9064,41.7309,40.8939,42.661,45.0106,45.7471,45.2701,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
146,10,187,370,3,29.1612,37.5169,37.8162,37.0666,38.0711,41.1475,43.7448,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
147,14,187,550,3,31.3613,39.8727,40.3496,42.4323,44.9196,45.9274,45.5122,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
148,10,190,370,3,25.6261,34.8049,36.5993,36.4518,37.6426,40.7355,43.5498,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
149,14,190,550,3,27.1928,37.9651,39.6681,41.7214,44.0951,45.5221,45.24,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
150,10,192,370,3,24.905,33.2145,35.4476,35.7443,37.0562,39.9922,43.263,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
151,14,192,550,3,26.15,36.7763,38.8696,41.0054,43.4277,44.7546,44.5851,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
152,10,194,370,3,23.9144,31.7261,34.1612,34.7595,36.5272,39.3255,43.0876,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
153,14,194,550,3,24.6792,35.6574,38.0378,40.674,42.8199,44.4862,44.206,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
154,10,197,370,3,22.6049,29.5499,31.8866,32.8022,34.6754,37.9848,42.5103,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
155,14,197,550,3,22.981,34.0886,36.8602,39.7645,41.8145,43.682,43.5178,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
156,10,199,370,3,37.1871,39.0803,37.0604,35.8139,37.4031,40.2043,43.5779,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
157,14,199,550,3,39.8598,41.7215,38.5427,40.3652,42.0771,44.044,43.8839,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
158,10,201,370,3,36.4833,38.5207,37.0015,35.7992,37.204,39.9307,43.1116,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
159,14,201,550,3,38.2199,41.217,38.7717,40.4539,41.7985,43.7042,43.5658,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
160,10,204,370,3,31.3593,35.734,36.1419,35.0635,36.7643,39.3282,42.9072,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
161,14,204,550,3,32.3371,38.9909,38.341,40.1812,41.5092,43.3259,43.2308,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
162,10,211,370,3,31.0485,35.2742,35.7812,34.9187,36.3715,39.1877,42.7069,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
163,14,211,550,3,32.5019,39.5351,39.1229,40.7231,42.0991,43.6433,43.4352,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
164,10,213,370,3,27.6537,33.2134,34.9344,34.5225,36.0317,38.838,42.5847,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
165,14,213,550,3,28.9203,37.8289,38.7097,40.5943,41.9627,43.711,43.3901,39.3555,42.8066,41.274,42.9425,45.115,45.8302,45.4076
166,10,215,370,3,24.9764,30.9948,33.6157,33.7884,35.367,38.248,42.3843,36.6363,40.2555,38.5717,37.7168,38.5815,41.5345,42.5363
