block,ring,CO2,hour,canopy_t
3,28,elevate,7,17.2235
3,28,elevate,8,20.2001
3,28,elevate,9,22.6463
3,28,elevate,10,24.6258
3,28,elevate,11,25.7648
3,28,elevate,12,26.3699
3,28,elevate,13,26.8201
3,28,elevate,14,27
3,28,elevate,15,26.4752
3,28,elevate,16,25.4439
3,28,elevate,17,24.4205
3,28,elevate,18,22.529
3,28,elevate,19,19.7257
3,28,elevate,20,17.5164
3,28,elevate,21,16.5322
3,28,elevate,22,15.9709
3,28,elevate,23,15.6424
3,32,ambient,0,15.4368
3,32,ambient,1,15.1767
3,32,ambient,2,14.9126
3,32,ambient,3,14.7135
3,32,ambient,4,14.6335
3,32,ambient,5,14.3892
3,32,ambient,6,14.7017
3,32,ambient,7,17.2349
3,32,ambient,8,20.3491
3,32,ambient,9,22.8086
3,32,ambient,10,24.6878
3,32,ambient,11,25.7869
3,32,ambient,12,26.374
3,32,ambient,13,26.6599
3,32,ambient,14,26.8068
3,32,ambient,15,26.4092
3,32,ambient,16,25.5229
3,32,ambient,17,24.605
3,32,ambient,18,22.8943
3,32,ambient,19,20.2913
3,32,ambient,20,17.9628
3,32,ambient,21,16.8759
3,32,ambient,22,16.287
3,32,ambient,23,15.8397
4,25,ambient,0,.
4,25,ambient,1,.
4,25,ambient,2,.
4,25,ambient,3,.
4,25,ambient,4,.
4,25,ambient,5,.
4,25,ambient,6,.
4,25,ambient,7,.
4,25,ambient,8,.
4,25,ambient,9,.
4,25,ambient,10,.
4,25,ambient,11,.
4,25,ambient,12,.
4,25,ambient,13,.
4,25,ambient,14,.
4,25,ambient,15,.
4,25,ambient,16,.
4,25,ambient,17,.
4,25,ambient,18,.
4,25,ambient,19,.
4,25,ambient,20,.
4,25,ambient,21,.
4,25,ambient,22,.
4,25,ambient,23,.
4,29,elevate,0,15.913
4,29,elevate,1,15.6155
4,29,elevate,2,15.3091
4,29,elevate,3,15.101
4,29,elevate,4,15.0684
4,29,elevate,5,14.8026
4,29,elevate,6,15.0862
4,29,elevate,7,17.3437
4,29,elevate,8,20.2232
4,29,elevate,9,22.6428
4,29,elevate,10,24.5721
4,29,elevate,11,25.7647
4,29,elevate,12,26.4053
4,29,elevate,13,26.8624
4,29,elevate,14,27.0385
4,29,elevate,15,26.6601
4,29,elevate,16,25.8178
4,29,elevate,17,24.8687
4,29,elevate,18,23.1192
4,29,elevate,19,20.4718
4,29,elevate,20,18.3226
4,29,elevate,21,17.3436
4,29,elevate,22,16.7607
4,29,elevate,23,16.3483
